ObjectID,b.mean,b.sd,b.mad,b.q001,b.q005,b.q01,b.q02,b.q05,b.q08,b.q09,b.q095,b.q099,b.tran.mean,b.tran.sd,b.tran.mad,b.center,b.periphery,b.diff.cp,b.tran.q005,b.tran.q01,b.tran.q05,b.tran.q09,b.tran.q095,t.bump.number,t.bump.onset,s.area,s.perimeter,s.radius.mean,s.radius.sd,s.radius.min,s.radius.max,m.cx,m.cy,m.majoraxis,m.eccentricity,m.theta
1,0.29725261829684596,0.059123176349840156,0.04643069405380073,0.22445793808748524,0.23463576608755563,0.24264267098206738,0.2551643027351646,0.2875387452863476,0.3252402324691501,0.33517442344898196,0.3663126166968729,0.5746393917454238,0.5856839856565195,0.09799349918835455,0.095084577706569,0.4753490501258869,0.8285801480125125,0.35323109788662554,0.4773174639505608,0.481025406271458,0.559487296864271,0.7413900968947891,0.7787441824979019,0,NA,8634,292,51.99648502568895,0.5580177235850347,50.76327733290119,53.69490853227474,1592.0749476681187,1581.0429727102608,109.16374401521796,0.17548929911770844,1.3141576212269386
2,0.2983492714496611,0.05269566080326095,0.04664851775148116,0.22631493688785997,0.23595967128723866,0.2440285762744097,0.25831995854774203,0.28987140774537207,0.32869554258324896,0.3393714174040588,0.3532287731541318,0.5377423524277918,0.5831314980891543,0.09599798151703126,0.0915440741588465,0.485801480125124,0.8156252384222171,0.32982375829709315,0.48625925078202487,0.4845349813076982,0.5486228732738232,0.732997634851606,0.7694361791409171,0,NA,8243,288,50.76233801227016,0.359503610459106,49.85500049603726,51.582931791801684,1852.1072524025983,1153.6115425655184,105.87240049553404,0.12099477283481819,0.09166077487658333
3,0.2882625439526753,0.034873247695569806,0.04284717325628921,0.22893190617087128,0.23862973867277482,0.245064071010747,0.25579932673824834,0.2863865889386836,0.3230944729342764,0.3302536274394408,0.335089210422596,0.3699456227064483,0.5808257969733908,0.10454083588046692,0.0873248798352025,0.47757686732280463,0.8646982528419929,0.38712138551918823,0.48044556343938355,0.47753109025711454,0.544106202792401,0.7339131761654077,0.7881437399862669,0,NA,8375,290,51.182340456419034,0.681721054272999,49.59935871818953,52.60785150933339,454.62419208366583,1745.134997059049,107.29500041018936,0.24820290999293,1.4309882388426063
4,0.2899594034756825,0.04360560531131205,0.04251358611957544,0.22572642090595818,0.23594531724527565,0.2448532204506637,0.25549289259255514,0.2830298035782069,0.32432346943678364,0.3318744814069051,0.33860327462077966,0.47451492733037137,0.5724368022176445,0.09207424985646781,0.07771009384298468,0.4788891432059205,0.8069733730067903,0.32808422980086976,0.47837033646143284,0.4839551384756237,0.5442130159456778,0.7088883802548257,0.7545891508354314,0,NA,8297,289,50.943190611075366,0.6280129379699011,49.36786259753426,52.2454849890369,359.70820981374214,1513.6775550056611,106.71125123371206,0.22710702608426342,-0.5370760150422564
5,0.2951344375090696,0.06025505191694771,0.04717766046015467,0.22036427262417355,0.23180666549875245,0.24010032790604294,0.2523074774618563,0.28187670838331075,0.3255613366347534,0.33803137023182844,0.36474454994501615,0.5732929659027551,0.5833527539066564,0.10648495799888699,0.09305981689173731,0.47473868925001905,0.8794995040817883,0.4047608148317693,0.4741741054398413,0.4797436484321355,0.5454642557412069,0.7396810864423591,0.7890592813000686,0,NA,8107,286,50.33688493503322,0.363616829507001,49.50767469577411,51.43591362487828,1482.0375490716365,893.641088806074,105.02062505419653,0.04511989770434426,0.7398412426957073
6,0.2941601335749875,0.060230284170185805,0.049034655025986584,0.21878503715024678,0.2285142481621144,0.23790809104167324,0.25020795359580583,0.2820580141630724,0.32421905575286264,0.3362718286119136,0.3630984926341394,0.5704552761422796,0.5902868540412274,0.11185187777106739,0.10225607690547041,0.4703593499656672,0.894697489890898,0.42433813992523084,0.47087815671015487,0.4767833981841764,0.5552300297550927,0.7478599221789883,0.8131532768749523,0,NA,7952,282,49.85802053951161,0.38244320813350624,48.82876034808716,50.91391323140639,1535.8659347652147,1164.426377352979,104.2607980534194,0.09992706863920216,1.0267060203387681
7,0.2906875927946572,0.03255573681190287,0.040455864599970824,0.23205640164959504,0.24174607068732734,0.24938150599009642,0.26002913132305927,0.2892817131082681,0.3254488672209769,0.333089835126267,0.3382264153222519,0.34941885722742366,0.6058445966434064,0.10346513748351764,0.09440588693064773,0.4952315556572824,0.8911421377889678,0.3959105821316854,0.4994125276569772,0.4997940032043946,0.5763027389944304,0.7459525444419013,0.7888761730373083,0,NA,7385,272,48.035228130756096,0.5463568517332714,46.76905053463134,49.32193134337209,317.80818447566946,719.5129457345157,99.87855502604145,0.20699430200309504,-1.2695079334668673
8,0.29625841666017594,0.05388340454249097,0.04575597590155609,0.2222843647158132,0.23727222319256008,0.24444151128197944,0.256120966272373,0.28886886999476236,0.32807114484819766,0.3368995476951785,0.3544539117635915,0.5420030529649901,0.6033732611072964,0.11852668745438055,0.10227869993133436,0.4840772106507973,0.9624170290684367,0.47833981841763945,0.4883192187380789,0.49292744335088123,0.5651026169222553,0.768886854352636,0.8255741206988632,0,NA,7478,274,48.33233350731386,0.5735297961867182,46.78912581723813,49.6922245955269,1801.454480739036,1409.8309305598084,101.60175117772211,0.21674713209101246,-0.01678648685694983
9,0.28989700119144723,0.06998912240065003,0.04073955003743057,0.21017900898510167,0.22411815582454925,0.23210715785889108,0.24591040328647118,0.27483776490267375,0.3167552089596428,0.3395069545728997,0.41131111872555526,0.6188244000254914,0.5867462678975611,0.13095701144925798,0.09037898832684817,0.4657663843747616,0.9766536964980544,0.5108873121232929,0.46590371557183186,0.4678110933089189,0.540688181887541,0.7586938277256428,0.8842145418478675,3,0.40425531914893614,7166,266,47.330267041148026,0.5579632358223949,46.05183319854218,48.805782686615316,1229.4377760061448,823.4134777559633,99.93839075256679,0.18195981467122624,-1.1127279236125374
10,0.2854462697431765,0.033752934833219436,0.039291261043877715,0.22517709854656803,0.2368502710221624,0.2443347593930686,0.2545435118030235,0.28177504855371155,0.3216333880053531,0.32941797186270466,0.3340711424429428,0.3488817590194406,0.59361675307917106,0.09993063926605252,0.09333129320210573,0.4830701152056153,0.8540932326237888,0.37102311741817345,0.48329900053406577,0.4916456855115587,0.5681849393453879,0.740642404821851,0.7897001602197299,0,NA,6797,260,46.06541524710052,0.423203204661364,45.15906027423584,47.211495848328,256.03637226045123,1381.7885209989875,95.42747033608325,0.16186813417617696,-0.7218272729729125
11,0.28911077062213075,0.03155542536904301,0.03794207804453787,0.23067718891915126,0.2403440576583972,0.248997698708863,0.25989690316757796,0.2877010396359112,0.32256509643029907,0.3306623051474989,0.3359656870838831,0.34854594051983073,0.564147402151522,0.08131742199677831,0.05375230945296403,0.49864957656214237,0.7718165865568017,0.27316700999465937,0.4969558251316091,0.49532310978866256,0.531090257114519,0.6956282902265964,0.7206073090714885,0,NA,6712,263,45.735070301645024,2.126165691717466,39.36534862922207,48.57011970557109,217.4426822548488,1089.3673665092774,98.57373309593852,0.40880689191853387,-0.1080959110535455
12,0.29131299334954397,0.047359596153379264,0.04006575424133289,0.22718279151665743,0.23557205392016417,0.2427871724905859,0.25578685046439764,0.28258610130900463,0.32454458590212837,0.3363271960304267,0.34817115620962424,0.49811720341317123,0.6031396367980617,0.0994429865670962,0.10114754863813226,0.49103532463569083,0.8364232852674144,0.34538796063172356,0.49234760051880677,0.5011673151750973,0.5729304951552605,0.7480735484855421,0.782207980468452,0,NA,6522,256,45.10955262762549,0.7906829074258438,43.311588602536744,46.951470501736054,640.1300645135601,1808.7688022642708,95.48321877604788,0.2819136219244364,1.3959337681332784
13,0.2896219004283112,0.04741982659809437,0.03926729931646244,0.21950346523067776,0.23283052788768588,0.23945661340147006,0.25358442493592137,0.28380623922126447,0.32061271885378845,0.3337051411572437,0.3467083531409165,0.4905087923805575,0.60512703135729,0.11498201264421062,0.09598949874113068,0.4869001297016861,0.9484855420767528,0.46158541237506673,0.48935683222705423,0.4946669718471046,0.5671015487907225,0.761394674601358,0.8116731517509728,0,NA,6386,253,44.63098863046184,0.5719808884354931,43.29014009310044,45.77234291059751,1808.7903932301097,1277.6687673359984,93.68496384500556,0.23421531051655237,0.0607036399909295
14,0.29139009375923863,0.07412425704950427,0.03538363061517204,0.2027548761504346,0.22347318626280535,0.23169385781575963,0.24689080426584822,0.2752882518036299,0.3176122318255181,0.34584683320648235,0.4521048255621392,0.61837959996262,0.5758692440541834,0.0963191071547371,0.08298125886930659,0.4785992217898833,0.8285343709468224,0.3499351491569391,0.4769207293812467,0.48006408789196614,0.5428397039749752,0.7359426260776685,0.7617914091706721,1,0.5348837209302325,5847,243,42.68158861255351,0.39436312326193723,41.58098511444392,43.568910108308636,939.8967011965357,727.5846396755886,89.86605463183004,0.11119380809359453,-1.5465708361844008
15,0.2956408483889338,0.05414581791904773,0.04518958671487661,0.22381790162364462,0.23549684211454447,0.24293437951796396,0.2553425724284544,0.28603907490624425,0.326737668876926,0.3388838363841714,0.3606037694080484,0.5492529216031992,0.613855994988616,0.10863376746710834,0.10265197985809114,0.4938887617303731,0.9068436713206683,0.41295490959029524,0.4996871900511177,0.5030441748683909,0.5768520637827115,0.7626916914625772,0.8090333409628443,1,0.6756756756756757,5992,245,43.22109250834653,0.6830630495357903,41.4603471183452,44.95681800588758,1401.0697263481838,1880.9496548712873,91.40628075197195,0.262405988640406,1.287493728952046
16,0.29224460271499175,0.0453734585844738,0.043901651139317155,0.2067586844648688,0.23163355901473645,0.24203042472110267,0.2554053491032466,0.2843961581710765,0.3279442117238589,0.3423756167390788,0.35583875894067296,0.4568919272651233,0.6038653511783579,0.10600230082752657,0.09688310826276034,0.4931258106355383,0.8934462500953689,0.40032043945983065,0.49495689326314185,0.49666590371557184,0.5721217669947356,0.7508354314488441,0.7942473487449454,0,NA,5816,242,42.571504917712325,0.4888339793742816,41.24185762425311,43.57778162899216,1650.3482225530263,737.0088068649793,88.72620785539847,0.20465475851477322,0.04440672433650386
17,0.2899542217101129,0.06380823136941959,0.03938181387482008,0.20607728356479785,0.223023997947181,0.23217949848908337,0.24715966125334599,0.2785147553395128,0.3169096370745772,0.34334537809567667,0.3986502160429648,0.579492366570565,0.6086382126063614,0.12208885935060423,0.10912216525520707,0.4754558632791638,0.9696955825131609,0.4942397192339971,0.4836499580376898,0.4874036774242771,0.5712825207904173,0.7645685511558709,0.8249637598229953,3,0.40540540540540543,5781,242,42.43108912251375,0.6900097709572404,40.80950647326707,43.9694967567052,1354.4610021091773,1297.9987507539224,90.50619553505284,0.2848911075768188,0.5223284420993239
18,0.290811370569819,0.06540245863957685,0.036172105942908366,0.2160894791822336,0.22917878054164478,0.23645161254071675,0.2496456612517236,0.27691626155188165,0.3141067729125353,0.3400261474799283,0.4166473875816842,0.5963028743034382,0.6073254470242117,0.12290962629336225,0.09951869077592124,0.48513008316166933,0.9732051575494011,0.48807507438773173,0.48639658197909513,0.4853589684901198,0.5676661326009003,0.774868390936141,0.8440222781719692,1,0.55,5762,240,42.37113835662849,0.9094902736643967,40.49080506903867,44.22477015360152,455.6288670190279,1208.6998106608899,90.80281324939308,0.3015234456907538,-1.4450706365896067
19,0.28495157477108685,0.035604971256372436,0.03227707686277855,0.22520652284058737,0.23669872670228453,0.24352014557422336,0.2562108499212411,0.28070928053148647,0.3122952708794287,0.32600446981167236,0.33798007464926316,0.41391802811456324,0.5605427125454592,0.060464327796459424,0.05501919890135039,0.5017013809414816,0.7074692912184329,0.2057679102769513,0.5049057755397879,0.50942244602121,0.5406118867780575,0.6503089951934081,0.6803845273517968,0,NA,4610,232,38.00636119560506,4.990308239653806,25.736085385371627,45.31214978953591,264.84762821878314,1173.209555821845,90.91102791586106,0.6627292969134848,-1.4051577678462968
20,0.28954513447854296,0.06747813682449062,0.03503925162235434,0.20892139606443283,0.22447142086827465,0.23151076267943768,0.24638272603692765,0.27366790505279637,0.32137214008307424,0.34646993141843946,0.4212900505386754,0.5846459495710827,0.5768136850306683,0.10039992274292057,0.09420227969787144,0.4797283894102388,0.8380407415884642,0.3583123521782254,0.47998779278248266,0.48125429159990846,0.5501335164415961,0.7409323262378882,0.7560387579156176,2,0.53125,5261,230,40.46103815212218,0.6493899772052395,38.8876317317129,42.0358551607152,737.1155808049003,1761.247948676776,85.8209938796511,0.2168757768654778,1.3748460562197256
21,0.28102414762583056,0.0418345086265735,0.034063938769071225,0.20372767456057994,0.22680831171221463,0.23570345325785885,0.24956396178226128,0.27315149055791793,0.3104810820024483,0.33506662730756454,0.348741417667059,0.4362375919444716,0.5732173647669184,0.08492138266212945,0.07191859922178986,0.4898298619058518,0.7753871976806287,0.2855573357747769,0.4906385900663767,0.4907148851758602,0.5473411154345007,0.7105668726634623,0.7433432516975662,2,0.5128205128205128,5123,225,39.93813346008827,0.3865829037371428,38.94589472652257,40.83876759001927,862.1414018693705,1970.6127817207655,82.78994165584423,0.15308212058184342,-0.7780497018481545
22,0.297345766863932,0.05714531179446274,0.038521454136062734,0.22895621611240896,0.23873890595134029,0.24590121723550673,0.25873581067710666,0.2855616883566207,0.32497285663061903,0.3389715445249417,0.4000964371262711,0.5652943000504699,0.6444232513584768,0.11130234412515938,0.10930314946211958,0.5166857404440376,0.7756771190966659,0.25899137865262833,0.5246814679179065,0.5303425650415808,0.6124818799114977,0.8954146639200428,0.8462043183031968,9,0.7428571428571429,4297,248,36.89665104069246,4.873727088447693,26.170364126369414,46.53840824929166,207.26796594259838,1169.5099010535291,88.67875865439483,0.6616123735506554,-1.489947924150771
23,0.2928107219791192,0.07336442029169708,0.04167415372278382,0.20469887614895882,0.22147232130858402,0.22947440696121332,0.24566413284087535,0.27745934470712175,0.3237350301702061,0.34674882339771307,0.45491630322308296,0.6085351213429593,0.6069728807802774,0.11701941176594177,0.10053672693980313,0.48050659952697033,0.9270313572899977,0.4465247577630274,0.48262760357061113,0.4903334096284428,0.5757991912718394,0.7598687724116884,0.7966124971389333,0,NA,5013,225,39.48450704072082,0.5521451304639023,38.04976208942359,40.64258789271758,1043.6349670405789,1031.0384914537065,83.98736380039996,0.21755789077592508,0.5518436288417323
24,0.2880859463544455,0.036541164903130606,0.0343513204427662,0.2159945783274585,0.2362590305804245,0.24347818207500993,0.25839099951196864,0.284962705129325,0.31709721382744405,0.33476387716751577,0.34816163749328954,0.38958125278003425,0.5930445563439384,0.09603886081594712,0.07817386587319758,0.5065690089265278,0.8580300602731364,0.35146105134660865,0.5052872510872053,0.5027084763866636,0.564263370717937,0.7385671778439002,0.7729457541771573,1,0.5384615384615384,4728,227,38.257591088481185,2.960167672043349,30.444350028216597,42.51068110618724,1727.4687523963642,584.29818570233,85.25864059449344,0.5065122817680751,0.46325566493264697
25,0.28236251735308127,0.037125498117430954,0.03489034890558811,0.20236269004085095,0.22605686304778505,0.23685024587087677,0.2518382852599737,0.28187295977175453,0.3111847333050847,0.32954955372360806,0.3406692824403588,0.3894478580520375,0.6143274184545823,0.10216816890551643,0.08766422522316321,0.5012130922407874,0.9042801556420234,0.403067063401236,0.5074692912184329,0.5133592736705577,0.5856107423514153,0.7527122911421378,0.7953154802777141,3,0.40540540540540543,4725,218,38.32983914290289,0.49581083470426934,36.85540288969091,39.42696868611789,1565.8536555687222,681.2660642535794,78.7706666051125,0.10556348833246558,0.39872161520055704
26,0.2889358603675456,0.07159973708276493,0.037179107200717654,0.2004929915340629,0.2152517713129393,0.227222171246795,0.2446711223284401,0.2717075984564539,0.3204408971600487,0.3448930668560486,0.4474381934465797,0.5978642998251451,0.587412291388251,0.11200162762379245,0.10770822613870454,0.4758068207827878,0.8804913405050736,0.4046845197222858,0.4749370565346761,0.4785839627679866,0.5519035629816129,0.7501487754634928,0.7649805447470817,0,NA,4763,219,38.475006371570984,0.768632789412723,36.95351864704364,40.308354638206296,569.2473942832166,1247.5133094209946,82.20745277681935,0.26039029072722497,-1.5604766568804571
27,0.27882971505890225,0.03870371082036967,0.03455335369861635,0.18881194969102874,0.22449035387435734,0.23749252575026913,0.24995741586919584,0.27508996636763233,0.3115556618353537,0.3318115773449928,0.345419005998101,0.3578593336983097,0.5965083148515008,0.09056929999558104,0.08764160219729916,0.4981460288395514,0.8008850232700084,0.30273899443045704,0.4984817273212787,0.5069199664301518,0.5709925993743801,0.7305867093919279,0.7724116884107729,0,NA,4663,216,38.074277540051135,1.0729573003225377,35.385561564706705,39.99119121327918,1331.9653180709945,2017.529706857066,79.96017445577277,0.3108919917307808,-0.28349082379155005
28,0.29019190253607996,0.06637894472202485,0.04459275697609717,0.19170731988636294,0.21906050970563565,0.22986461762472854,0.24280251900959027,0.2795775541638914,0.3198541534253875,0.34336767907242416,0.42649668583507344,0.575979465334722,0.5992494970546073,0.09199516242916056,0.09122735179674983,0.4906538490882734,0.8217441062027924,0.33109025711451895,0.49530785076676587,0.5018081940947585,0.5781948577096209,0.7359426260776685,0.7657434958419166,3,0.40540540540540543,4525,213,37.494370913034054,0.5640501866436874,36.311181260690525,38.835266715766764,1329.6268708408102,1559.7628088998606,79.72371981914112,0.2700722347427841,-1.1726213594362305
29,0.29300717594255105,0.0615953545927722,0.04511544121055218,0.20737728861592744,0.2261889529574377,0.23415266673505936,0.24960456007511617,0.2799576887620099,0.32279953106773,0.3444012158090598,0.40763143200260454,0.5508063173596873,0.6093125398229541,0.11943655396680819,0.09607999084458685,0.4942854962996872,0.9433127336537728,0.44902723735408556,0.49367513542381936,0.4964827954528115,0.5663691157396811,0.7594415197985809,0.8264133669031815,0,NA,4379,210,36.87422461204243,0.6723526804118325,35.450186058890836,38.3489178613138,1282.6726924951392,1854.6274354688642,78.32956287811801,0.26341296670156433,-1.027310240330848
30,0.2918432352125419,0.05426784231816317,0.03998463215572148,0.20791209094298074,0.23145846074214538,0.24084583245388053,0.25314209160007595,0.2838418874272426,0.31789376294323757,0.34214869245083235,0.3768700738987477,0.5397666577820783,0.6302031530687974,0.09113188356535795,0.08999439688715953,0.5212481879911498,0.8453803311207752,0.32413214312962535,0.5264972915236134,0.5326771953917754,0.6041809719996948,0.7648584725719081,0.783108262760357,2,0.40625,3348,189,32.7039456070049,5.098321688253105,22.14165098837041,41.36460426824582,490.95273614088393,776.2480736946746,81.58994801047845,0.7196130236580373,-1.035743984721008
31,0.2883982944020967,0.06666386306057041,0.03897083086745062,0.19930210324582445,0.2190722758216549,0.22986881216040145,0.24614376946391725,0.27463142723077744,0.31865776405592594,0.3423951522865128,0.4020257643099163,0.5850277091497397,0.622137953930126,0.1148555575596638,0.09318424353398946,0.506355382619974,0.9588311589227131,0.45247577630273905,0.5141832608529793,0.5130083161669337,0.5825436789501793,0.7653009842069123,0.8318608377203022,0,NA,4095,201,35.982225351560444,3.510194105788944,28.31429479294063,40.83656036881492,700.0256897251174,1467.5648388884613,84.32822466629165,0.6111206977536356,-0.8947637809355824
32,0.2812304201179312,0.035457817842469055,0.03711357844428014,0.19751284033899918,0.22208469242465706,0.23569438939804233,0.2519904061851983,0.28089193328584755,0.3122435417859988,0.3272220871653361,0.3404329303287257,0.3560432943348581,0.6078707942320897,0.08771455000459531,0.09206440375371938,0.5062333104448005,0.8071564812695506,0.3009231708247502,0.512336919203479,0.5159075303273061,0.5849088273441673,0.7430380712596323,0.7595635919737544,0,NA,4235,207,36.25438045906219,0.6227761292999822,34.637810859552665,37.64017497382309,1595.6343161986256,604.895860399348,74.87772169105942,0.2016151298821889,0.25766676230505053
33,0.2876387714371343,0.038068289240818724,0.03725803810083235,0.21209364427974453,0.23138606749232798,0.2432553651431366,0.25668876724460776,0.2827441640245678,0.3169030760116486,0.33318511309293464,0.3455051991132457,0.4018817563077016,0.5962327654797327,0.08520960382370724,0.07384155642023336,0.5144121461814297,0.7927061875333791,0.27829404135194935,0.5136644541084916,0.5141832608529793,0.5660028992141604,0.7426108186465248,0.7560387579156176,0,NA,4449,211,37.193414622078286,1.0924822123498696,35.172850000360555,39.218146647144955,518.5903720974538,529.9911652733167,79.08115452074883,0.36418350328158533,-0.6735061254070089
34,0.29817688650541624,0.05375953839972424,0.04478303463771602,0.20785766191701488,0.23407095104317888,0.24301238629994748,0.2572538707095544,0.28827640349280503,0.33173126363677746,0.34602472106712145,0.3973099987611563,0.513953004893186,0.6204582243034978,0.09433697301905605,0.10356821240558475,0.5076371404592965,0.8319066147859923,0.32426947432669573,0.5145799954222934,0.515861753261616,0.5990844586861982,0.7525749599450675,0.7837491416800183,0,NA,4266,218,36.27659913533266,2.6822512303833497,26.428059404323708,39.57853802886509,1715.075672735394,647.2316915746853,79.7917365735845,0.43367912065575354,0.5119161181328431
35,0.2866807233730537,0.0598910175377951,0.04792132948260552,0.19253257184910252,0.21711018210992283,0.2275351251090656,0.24026912707320225,0.27957891441425703,0.3198515383943364,0.3412446982503067,0.3828227844582391,0.5302143492309044,0.5962767986572061,0.12377134727194129,0.07712189517051958,0.49330891889829864,0.9494468604562447,0.45613794155794607,0.4912031738765545,0.48967727168688485,0.5467765316243228,0.7715266651407645,0.8050812542915999,0,NA,4195,204,36.09850585456091,0.5137705984052098,34.746301723606386,37.34315688075711,1358.2138568841924,1453.7398256654692,75.93018769818603,0.22378407984960424,-0.4936507984603336
36,0.29523249631942483,0.05088580183415475,0.03854558958986257,0.21576569559040357,0.2296829484875831,0.24025558056938356,0.25629015534582117,0.28871501777254865,0.3274053669121327,0.3482840596572143,0.3835597918712832,0.4753407689420795,0.655419290849263,0.10931215880479257,0.09460949416342411,0.5335469596398871,0.9477378500038147,0.41419089036392764,0.5435263599603265,0.5442740520332646,0.6205844205386435,0.8006408789196613,0.8316472114137484,2,0.4,3198,184,32.01942953915463,4.9756098307131955,21.427950146835624,39.47294730868729,453.35712382622467,749.3273740944068,80.73320018004775,0.7376916928609676,-0.9971673405275981
37,0.28397151295287604,0.048673475268586217,0.046009576131403725,0.20167632544139424,0.2186193175430271,0.23268150504359308,0.24499386154316968,0.2766688863075091,0.3177727234373771,0.33362915365457585,0.34782906417755766,0.48878242104615494,0.6121897786351895,0.11015672373089971,0.10284427557793557,0.500175478751812,0.9022812237735561,0.4021057450217441,0.5007858396276799,0.5041886015106432,0.5812924391546502,0.7694209201190204,0.8055542839703975,0,NA,3988,200,35.170686247735794,0.4175869530150423,33.79257980681558,36.29019771232997,697.6053849598175,648.9631280952369,73.35367199914356,0.1981203758885563,0.5855086532799336
38,0.2877137863294238,0.042101203708079384,0.04645712152888777,0.21184922208005524,0.22780201360739638,0.239659639745595,0.2505092108083375,0.2809487581919494,0.3216480233506982,0.33500645839803195,0.34504568455298523,0.42242062689755944,0.6111818112458991,0.10316597220268135,0.07410172121766985,0.5222552834363318,0.8972457465476463,0.37499046311131456,0.5203479056992447,0.518074311436637,0.5726405737392233,0.7612115663385977,0.7963988708323796,0,NA,4629,216,38.005551731413306,2.164157110665957,31.95955225139642,40.96007562156776,548.8740758796848,602.5888887342063,82.67493096786214,0.45138424057789217,0.9640033640277299
39,0.28745383933995916,0.10031311207247483,0.05928866888667794,0.020778052981759144,0.2044005940842265,0.21845687176522144,0.23357748062245026,0.2827444495587995,0.329357880440564,0.3666336074062918,0.4603245364193478,0.5661380215691444,0.6169344625009536,0.10850258201733971,0.11247037308308538,0.4873273823147936,0.88450446326390475,0.39717708094911114,0.49127946898603797,0.4986037994964523,0.5863126573586633,0.7551995117112993,0.8185702296482795,0,NA,3699,192,33.85758778445702,0.3326595785743789,33.06552779994954,34.586485251071196,1028.6475048914422,1182.520304228865,71.1172956518325,0.12390418554719722,-0.8036861266363055
40,0.29408280006979753,0.06798039426996758,0.04899630697422864,0.20634686959321008,0.2218999426426472,0.23096348115805984,0.24302103405681114,0.28323577902006153,0.3225789861232001,0.34910416101058656,0.4214887002305895,0.559987220342389,0.5768769141898005,0.0931714757660229,0.04438637674525064,0.5106736858167391,0.8081635767147326,0.2974898908979935,0.5080796520943007,0.5066147859922179,0.5291218432898451,0.7312581063553826,0.7500419623102159,0,NA,3761,194,34.161797103355426,0.8492780788479665,31.500496396866716,35.74758062682977,618.532809801873,1031.3317452331653,73.10977599285356,0.30615669211845836,1.1532658624189331
