Community,IsolateGenus,RelativeAbundance,ExpID,ID,Isolate
C1R2,Citrobacter,0.404366613600182,1.2.A.1,259,1
C1R2,Pseudomonas,0.456447577894019,1.2.A.1,259,1
C1R2,Pseudomonas,0.0297930407095747,1.2.A.1,259,1
C1R2,Citrobacter,0.404366613600182,1.2.A.3,428,2
C1R2,Pseudomonas,0.456447577894019,1.2.A.3,428,2
C1R2,Pseudomonas,0.0297930407095747,1.2.A.3,428,2
C1R2,Citrobacter,0.404366613600182,1.2.A.5,364,3
C1R2,Pseudomonas,0.456447577894019,1.2.A.5,364,3
C1R2,Pseudomonas,0.0297930407095747,1.2.A.5,364,3
C1R2,Citrobacter,0.404366613600182,1.2.B.6,432,4
C1R2,Pseudomonas,0.456447577894019,1.2.B.6,432,4
C1R2,Pseudomonas,0.0297930407095747,1.2.B.6,432,4
C1R4,Pseudomonas,0.133500113713896,1.4.A.1,267,1
C1R4,Enterobacter,0.835569706618149,1.4.A.1,267,1
C1R4,Citrobacter,0.023879918125995,1.4.A.1,267,1
C1R4,Pseudomonas,0.133500113713896,1.4.A.3,269,2
C1R4,Enterobacter,0.835569706618149,1.4.A.3,269,2
C1R4,Citrobacter,0.023879918125995,1.4.A.3,269,2
C1R4,Pseudomonas,0.133500113713896,1.4.A.4,434,3
C1R4,Enterobacter,0.835569706618149,1.4.A.4,434,3
C1R4,Citrobacter,0.023879918125995,1.4.A.4,434,3
C1R4,Pseudomonas,0.133500113713896,1.4.A.5,435,4
C1R4,Enterobacter,0.835569706618149,1.4.A.5,435,4
C1R4,Citrobacter,0.023879918125995,1.4.A.5,435,4
C1R4,Pseudomonas,0.133500113713896,1.4.B.4,270,5
C1R4,Enterobacter,0.835569706618149,1.4.B.4,270,5
C1R4,Citrobacter,0.023879918125995,1.4.B.4,270,5
C1R6,Pseudomonas,0.00545826700022743,1.6.A.1,272,1
C1R6,Enterobacter,0.506936547646122,1.6.A.1,272,1
C1R6,Pseudomonas,0.401637480100068,1.6.A.1,272,1
C1R6,Serratia,0.0109165340004549,1.6.A.1,272,1
C1R6,Citrobacter,0.0559472367523311,1.6.A.1,272,1
C1R6,Pseudomonas,0.00545826700022743,1.6.A.2,273,2
C1R6,Enterobacter,0.506936547646122,1.6.A.2,273,2
C1R6,Pseudomonas,0.401637480100068,1.6.A.2,273,2
C1R6,Serratia,0.0109165340004549,1.6.A.2,273,2
C1R6,Citrobacter,0.0559472367523311,1.6.A.2,273,2
C1R6,Pseudomonas,0.00545826700022743,1.6.A.4,274,3
C1R6,Enterobacter,0.506936547646122,1.6.A.4,274,3
C1R6,Pseudomonas,0.401637480100068,1.6.A.4,274,3
C1R6,Serratia,0.0109165340004549,1.6.A.4,274,3
C1R6,Citrobacter,0.0559472367523311,1.6.A.4,274,3
C1R6,Pseudomonas,0.00545826700022743,1.6.A.5,438,4
C1R6,Enterobacter,0.506936547646122,1.6.A.5,438,4
C1R6,Pseudomonas,0.401637480100068,1.6.A.5,438,4
C1R6,Serratia,0.0109165340004549,1.6.A.5,438,4
C1R6,Citrobacter,0.0559472367523311,1.6.A.5,438,4
C1R6,Pseudomonas,0.00545826700022743,1.6.A.6,439,5
C1R6,Enterobacter,0.506936547646122,1.6.A.6,439,5
C1R6,Pseudomonas,0.401637480100068,1.6.A.6,439,5
C1R6,Serratia,0.0109165340004549,1.6.A.6,439,5
C1R6,Citrobacter,0.0559472367523311,1.6.A.6,439,5
C1R7,Enterobacter,0.42392540368433,1.7.A.1,440,1
C1R7,Pseudomonas,0.0941551057539231,1.7.A.1,440,1
C1R7,Serratia,0.356379349556516,1.7.A.1,440,1
C1R7,Citrobacter,0.0714123265863089,1.7.A.1,440,1
C1R7,Enterobacter,0.42392540368433,1.7.A.1.2,441,2
C1R7,Pseudomonas,0.0941551057539231,1.7.A.1.2,441,2
C1R7,Serratia,0.356379349556516,1.7.A.1.2,441,2
C1R7,Citrobacter,0.0714123265863089,1.7.A.1.2,441,2
C1R7,Enterobacter,0.42392540368433,1.7.A.3,283,3
C1R7,Pseudomonas,0.0941551057539231,1.7.A.3,283,3
C1R7,Serratia,0.356379349556516,1.7.A.3,283,3
C1R7,Citrobacter,0.0714123265863089,1.7.A.3,283,3
C1R7,Enterobacter,0.42392540368433,1.7.A.4,284,4
C1R7,Pseudomonas,0.0941551057539231,1.7.A.4,284,4
C1R7,Serratia,0.356379349556516,1.7.A.4,284,4
C1R7,Citrobacter,0.0714123265863089,1.7.A.4,284,4
C1R7,Enterobacter,0.42392540368433,1.7.A.5,442,5
C1R7,Pseudomonas,0.0941551057539231,1.7.A.5,442,5
C1R7,Serratia,0.356379349556516,1.7.A.5,442,5
C1R7,Citrobacter,0.0714123265863089,1.7.A.5,442,5
C1R7,Enterobacter,0.42392540368433,1.7.B.3,286,6
C1R7,Pseudomonas,0.0941551057539231,1.7.B.3,286,6
C1R7,Serratia,0.356379349556516,1.7.B.3,286,6
C1R7,Citrobacter,0.0714123265863089,1.7.B.3,286,6
C1R7,Enterobacter,0.42392540368433,1.7.B.4,287,7
C1R7,Pseudomonas,0.0941551057539231,1.7.B.4,287,7
C1R7,Serratia,0.356379349556516,1.7.B.4,287,7
C1R7,Citrobacter,0.0714123265863089,1.7.B.4,287,7
C2R6,Enterobacter,0.184671366841028,2.6.A.1,276,1
C2R6,Raoultella,0.269047077552877,2.6.A.1,276,1
C2R6,Citrobacter,0.110302478962929,2.6.A.1,276,1
C2R6,Enterobacter,0.184671366841028,2.6.A.2,277,2
C2R6,Raoultella,0.269047077552877,2.6.A.2,277,2
C2R6,Citrobacter,0.110302478962929,2.6.A.2,277,2
C2R6,Enterobacter,0.184671366841028,2.6.A.3,278,3
C2R6,Raoultella,0.269047077552877,2.6.A.3,278,3
C2R6,Citrobacter,0.110302478962929,2.6.A.3,278,3
C2R6,Enterobacter,0.184671366841028,2.6.A.5,,4
C2R6,Raoultella,0.269047077552877,2.6.A.5,,4
C2R6,Citrobacter,0.110302478962929,2.6.A.5,,4
C2R8,Raoultella,0.30543552422106,2.8.A.1,288,1
C2R8,Citrobacter,0.172845121673869,2.8.A.1,288,1
C2R8,Pseudomonas,0.412554014100523,2.8.A.1,288,1
C2R8,Raoultella,0.30543552422106,2.8.A.2,289,2
C2R8,Citrobacter,0.172845121673869,2.8.A.2,289,2
C2R8,Pseudomonas,0.412554014100523,2.8.A.2,289,2
C2R8,Raoultella,0.30543552422106,2.8.A.3,290,3
C2R8,Citrobacter,0.172845121673869,2.8.A.3,290,3
C2R8,Pseudomonas,0.412554014100523,2.8.A.3,290,3
C2R8,Raoultella,0.30543552422106,2.8.B.2,444,4
C2R8,Citrobacter,0.172845121673869,2.8.B.2,444,4
C2R8,Pseudomonas,0.412554014100523,2.8.B.2,444,4
C4R1,Pseudomonas,0.282010461678417,4.1.A.1,294,1
C4R1,Enterobacter,0.561746645440073,4.1.A.1,294,1
C4R1,Pseudomonas,0.282010461678417,4.1.A.2,295,2
C4R1,Enterobacter,0.561746645440073,4.1.A.2,295,2
C4R1,Pseudomonas,0.282010461678417,4.1.B.4,302,3
C4R1,Enterobacter,0.561746645440073,4.1.B.4,302,3
C7R1,Enterobacter,0.799636115533318,7.1.A.1,303,1
C7R1,Pseudomonas,0.110075051171253,7.1.A.1,303,1
C7R1,Enterobacter,0.799636115533318,7.1.A.2,304,2
C7R1,Pseudomonas,0.110075051171253,7.1.A.2,304,2
C7R1,Enterobacter,0.799636115533318,7.1.A.3,305,3
C7R1,Pseudomonas,0.110075051171253,7.1.A.3,305,3
C7R1,Enterobacter,0.799636115533318,7.1.B.2,308,4
C7R1,Pseudomonas,0.110075051171253,7.1.B.2,308,4
C8R4,Pseudomonas,0.212644985217194,8.4.A.1,316,1
C8R4,Enterobacter,0.747100295656129,8.4.A.1,316,1
C8R4,Pseudomonas,0.212644985217194,8.4.A.2,317,2
C8R4,Enterobacter,0.747100295656129,8.4.A.2,317,2
C8R4,Pseudomonas,0.212644985217194,8.4.B.2,446,3
C8R4,Enterobacter,0.747100295656129,8.4.B.2,446,3
C10R2,Pseudomonas,0.117580168296566,10.2.A.1,326,1
C10R2,Enterobacter,0.760745963156698,10.2.A.1,326,1
C10R2,Pseudomonas,0.117580168296566,10.2.A.2,327,2
C10R2,Enterobacter,0.760745963156698,10.2.A.2,327,2
C10R2,Pseudomonas,0.117580168296566,10.2.C.4,,3
C10R2,Enterobacter,0.760745963156698,10.2.C.4,,3
C11R1,Pseudomonas,0.330452581305436,11.1.A.1,335,1
C11R1,Achromobacter,0.0118262451671594,11.1.A.1,335,1
C11R1,Acinetobacter,0.000227427791676143,11.1.A.1,335,1
C11R1,Pantoea,0.128724130088697,11.1.A.1,335,1
C11R1,Enterobacter,0.00500341141687514,11.1.A.1,335,1
C11R1,Raoultella,0.389356379349557,11.1.A.1,335,1
C11R1,Delftia,0.0295656129178986,11.1.A.1,335,1
C11R1,Pseudomonas,0.330452581305436,11.1.A.2,452,2
C11R1,Achromobacter,0.0118262451671594,11.1.A.2,452,2
C11R1,Acinetobacter,0.000227427791676143,11.1.A.2,452,2
C11R1,Pantoea,0.128724130088697,11.1.A.2,452,2
C11R1,Enterobacter,0.00500341141687514,11.1.A.2,452,2
C11R1,Raoultella,0.389356379349557,11.1.A.2,452,2
C11R1,Delftia,0.0295656129178986,11.1.A.2,452,2
C11R1,Pseudomonas,0.330452581305436,11.1.A.3,336,3
C11R1,Achromobacter,0.0118262451671594,11.1.A.3,336,3
C11R1,Acinetobacter,0.000227427791676143,11.1.A.3,336,3
C11R1,Pantoea,0.128724130088697,11.1.A.3,336,3
C11R1,Enterobacter,0.00500341141687514,11.1.A.3,336,3
C11R1,Raoultella,0.389356379349557,11.1.A.3,336,3
C11R1,Delftia,0.0295656129178986,11.1.A.3,336,3
C11R1,Pseudomonas,0.330452581305436,11.1.A.4,332,4
C11R1,Achromobacter,0.0118262451671594,11.1.A.4,332,4
C11R1,Acinetobacter,0.000227427791676143,11.1.A.4,332,4
C11R1,Pantoea,0.128724130088697,11.1.A.4,332,4
C11R1,Enterobacter,0.00500341141687514,11.1.A.4,332,4
C11R1,Raoultella,0.389356379349557,11.1.A.4,332,4
C11R1,Delftia,0.0295656129178986,11.1.A.4,332,4
C11R1,Pseudomonas,0.330452581305436,11.1.B.1,338,5
C11R1,Achromobacter,0.0118262451671594,11.1.B.1,338,5
C11R1,Acinetobacter,0.000227427791676143,11.1.B.1,338,5
C11R1,Pantoea,0.128724130088697,11.1.B.1,338,5
C11R1,Enterobacter,0.00500341141687514,11.1.B.1,338,5
C11R1,Raoultella,0.389356379349557,11.1.B.1,338,5
C11R1,Delftia,0.0295656129178986,11.1.B.1,338,5
C11R1,Pseudomonas,0.330452581305436,11.1.B.3,340,6
C11R1,Achromobacter,0.0118262451671594,11.1.B.3,340,6
C11R1,Acinetobacter,0.000227427791676143,11.1.B.3,340,6
C11R1,Pantoea,0.128724130088697,11.1.B.3,340,6
C11R1,Enterobacter,0.00500341141687514,11.1.B.3,340,6
C11R1,Raoultella,0.389356379349557,11.1.B.3,340,6
C11R1,Delftia,0.0295656129178986,11.1.B.3,340,6
C11R1,Pseudomonas,0.330452581305436,11.1.C.1,461,7
C11R1,Achromobacter,0.0118262451671594,11.1.C.1,461,7
C11R1,Acinetobacter,0.000227427791676143,11.1.C.1,461,7
C11R1,Pantoea,0.128724130088697,11.1.C.1,461,7
C11R1,Enterobacter,0.00500341141687514,11.1.C.1,461,7
C11R1,Raoultella,0.389356379349557,11.1.C.1,461,7
C11R1,Delftia,0.0295656129178986,11.1.C.1,461,7
C11R1,Pseudomonas,0.330452581305436,11.1.C.2,341,8
C11R1,Achromobacter,0.0118262451671594,11.1.C.2,341,8
C11R1,Acinetobacter,0.000227427791676143,11.1.C.2,341,8
C11R1,Pantoea,0.128724130088697,11.1.C.2,341,8
C11R1,Enterobacter,0.00500341141687514,11.1.C.2,341,8
C11R1,Raoultella,0.389356379349557,11.1.C.2,341,8
C11R1,Delftia,0.0295656129178986,11.1.C.2,341,8
C11R1,Pseudomonas,0.330452581305436,11.1.C.3,342,9
C11R1,Achromobacter,0.0118262451671594,11.1.C.3,342,9
C11R1,Acinetobacter,0.000227427791676143,11.1.C.3,342,9
C11R1,Pantoea,0.128724130088697,11.1.C.3,342,9
C11R1,Enterobacter,0.00500341141687514,11.1.C.3,342,9
C11R1,Raoultella,0.389356379349557,11.1.C.3,342,9
C11R1,Delftia,0.0295656129178986,11.1.C.3,342,9
C11R2,Aeromonas,0.255401410052308,11.2.A.1,343,1
C11R2,Acinetobacter,0.34432567659768,11.2.A.1,343,1
C11R2,Enterobacter,0.26063224926086,11.2.A.1,343,1
C11R2,Salmonella,0.014327950875597,11.2.A.1,343,1
C11R2,Enterobacter,0.041391858085058,11.2.A.1,343,1
C11R2,Pseudomonas,0.0486695474186946,11.2.A.1,343,1
C11R2,Aeromonas,0.255401410052308,11.2.A.2,453,2
C11R2,Acinetobacter,0.34432567659768,11.2.A.2,453,2
C11R2,Enterobacter,0.26063224926086,11.2.A.2,453,2
C11R2,Salmonella,0.014327950875597,11.2.A.2,453,2
C11R2,Enterobacter,0.041391858085058,11.2.A.2,453,2
C11R2,Pseudomonas,0.0486695474186946,11.2.A.2,453,2
C11R2,Aeromonas,0.255401410052308,11.2.A.3,344,3
C11R2,Acinetobacter,0.34432567659768,11.2.A.3,344,3
C11R2,Enterobacter,0.26063224926086,11.2.A.3,344,3
C11R2,Salmonella,0.014327950875597,11.2.A.3,344,3
C11R2,Enterobacter,0.041391858085058,11.2.A.3,344,3
C11R2,Pseudomonas,0.0486695474186946,11.2.A.3,344,3
C11R2,Aeromonas,0.255401410052308,11.2.A.3.2,345,4
C11R2,Acinetobacter,0.34432567659768,11.2.A.3.2,345,4
C11R2,Enterobacter,0.26063224926086,11.2.A.3.2,345,4
C11R2,Salmonella,0.014327950875597,11.2.A.3.2,345,4
C11R2,Enterobacter,0.041391858085058,11.2.A.3.2,345,4
C11R2,Pseudomonas,0.0486695474186946,11.2.A.3.2,345,4
C11R2,Aeromonas,0.255401410052308,11.2.B.1,346,5
C11R2,Acinetobacter,0.34432567659768,11.2.B.1,346,5
C11R2,Enterobacter,0.26063224926086,11.2.B.1,346,5
C11R2,Salmonella,0.014327950875597,11.2.B.1,346,5
C11R2,Enterobacter,0.041391858085058,11.2.B.1,346,5
C11R2,Pseudomonas,0.0486695474186946,11.2.B.1,346,5
C11R2,Aeromonas,0.255401410052308,11.2.B.2,280,6
C11R2,Acinetobacter,0.34432567659768,11.2.B.2,280,6
C11R2,Enterobacter,0.26063224926086,11.2.B.2,280,6
C11R2,Salmonella,0.014327950875597,11.2.B.2,280,6
C11R2,Enterobacter,0.041391858085058,11.2.B.2,280,6
C11R2,Pseudomonas,0.0486695474186946,11.2.B.2,280,6
C11R2,Aeromonas,0.255401410052308,11.2.B.3,348,7
C11R2,Acinetobacter,0.34432567659768,11.2.B.3,348,7
C11R2,Enterobacter,0.26063224926086,11.2.B.3,348,7
C11R2,Salmonella,0.014327950875597,11.2.B.3,348,7
C11R2,Enterobacter,0.041391858085058,11.2.B.3,348,7
C11R2,Pseudomonas,0.0486695474186946,11.2.B.3,348,7
C11R2,Aeromonas,0.255401410052308,11.2.B.4.1,454,8
C11R2,Acinetobacter,0.34432567659768,11.2.B.4.1,454,8
C11R2,Enterobacter,0.26063224926086,11.2.B.4.1,454,8
C11R2,Salmonella,0.014327950875597,11.2.B.4.1,454,8
C11R2,Enterobacter,0.041391858085058,11.2.B.4.1,454,8
C11R2,Pseudomonas,0.0486695474186946,11.2.B.4.1,454,8
C11R2,Aeromonas,0.255401410052308,11.2.B.4.2,455,9
C11R2,Acinetobacter,0.34432567659768,11.2.B.4.2,455,9
C11R2,Enterobacter,0.26063224926086,11.2.B.4.2,455,9
C11R2,Salmonella,0.014327950875597,11.2.B.4.2,455,9
C11R2,Enterobacter,0.041391858085058,11.2.B.4.2,455,9
C11R2,Pseudomonas,0.0486695474186946,11.2.B.4.2,455,9
C11R2,Aeromonas,0.255401410052308,11.2.B.6,350,10
C11R2,Acinetobacter,0.34432567659768,11.2.B.6,350,10
C11R2,Enterobacter,0.26063224926086,11.2.B.6,350,10
C11R2,Salmonella,0.014327950875597,11.2.B.6,350,10
C11R2,Enterobacter,0.041391858085058,11.2.B.6,350,10
C11R2,Pseudomonas,0.0486695474186946,11.2.B.6,350,10
C11R2,Aeromonas,0.255401410052308,11.2.B.7,458,11
C11R2,Acinetobacter,0.34432567659768,11.2.B.7,458,11
C11R2,Enterobacter,0.26063224926086,11.2.B.7,458,11
C11R2,Salmonella,0.014327950875597,11.2.B.7,458,11
C11R2,Enterobacter,0.041391858085058,11.2.B.7,458,11
C11R2,Pseudomonas,0.0486695474186946,11.2.B.7,458,11
C11R2,Aeromonas,0.255401410052308,11.2.B.8.2,460,12
C11R2,Acinetobacter,0.34432567659768,11.2.B.8.2,460,12
C11R2,Enterobacter,0.26063224926086,11.2.B.8.2,460,12
C11R2,Salmonella,0.014327950875597,11.2.B.8.2,460,12
C11R2,Enterobacter,0.041391858085058,11.2.B.8.2,460,12
C11R2,Pseudomonas,0.0486695474186946,11.2.B.8.2,460,12
C11R5,Pseudomonas,0.183534227882647,11.5.A.1,352,1
C11R5,Raoultella,0.64271093927678,11.5.A.1,352,1
C11R5,Pseudomonas,0.183534227882647,11.5.A.1.2,353,2
C11R5,Raoultella,0.64271093927678,11.5.A.1.2,353,2
C11R5,Pseudomonas,0.183534227882647,11.5.B.1,355,3
C11R5,Raoultella,0.64271093927678,11.5.B.1,355,3
C11R5,Pseudomonas,0.183534227882647,11.5.B.2,462,4
C11R5,Raoultella,0.64271093927678,11.5.B.2,462,4
C11R5,Pseudomonas,0.183534227882647,11.5.B.3,356,5
C11R5,Raoultella,0.64271093927678,11.5.B.3,356,5
